date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2020-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",319669,3548359.53,0,0
2020-05-01,Y62,"NORTH WEST COMMISSIONING REGION",376834,3440445.3,0,0
2020-05-01,Y60,"MIDLANDS COMMISSIONING REGION",452753,4728271.7,0,0
2020-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",460230,3924316.33,0,0
2020-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",239660,2550919.04,0,0
2020-06-01,Y56,"LONDON COMMISSIONING REGION",267520,2873285.77,0,0
2020-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",278430,2742023.42,0,0
2020-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",332846,3760301.34,0,0
2020-06-01,Y62,"NORTH WEST COMMISSIONING REGION",393532,3674031.46,0,0
2020-06-01,Y60,"MIDLANDS COMMISSIONING REGION",472055,5017732.77,0,0
2020-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",478458,4118327.73,0,0
2020-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",249050,2581785.74,0,0
2020-07-01,Y56,"LONDON COMMISSIONING REGION",275575,2896590.48,0,0
2020-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",291661,2836007.96,0,0
2020-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",345982,3809980.66,0,0
2020-07-01,Y62,"NORTH WEST COMMISSIONING REGION",411436,3752734.25,0,0
2020-07-01,Y60,"MIDLANDS COMMISSIONING REGION",490948,5107911.96,0,0
2020-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",497857,4272156.79,0,0
2020-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",227659,2399202.15,0,0
2020-08-01,Y56,"LONDON COMMISSIONING REGION",252844,2703679.09,0,0
2020-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",268364,2621790.72,0,0
2020-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",313450,3529439.37,0,0
2020-08-01,Y62,"NORTH WEST COMMISSIONING REGION",372052,3452427.14,0,0
2020-08-01,Y60,"MIDLANDS COMMISSIONING REGION",443787,4633052,0,0
2020-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",454091,3918020.81,0,0
2020-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",242129,2573665.83,0,0
2020-09-01,Y56,"LONDON COMMISSIONING REGION",271464,2978148.01,0,0
2020-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",285186,2793564.32,0,0
2020-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",336750,3860421.77,0,0
2020-09-01,Y62,"NORTH WEST COMMISSIONING REGION",400544,3762978.82,0,0
2020-09-01,Y60,"MIDLANDS COMMISSIONING REGION",480339,5122787.9,0,0
2020-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",484649,4277468.06,0,0
2020-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",247074,2617672.54,0,0
2020-10-01,Y56,"LONDON COMMISSIONING REGION",276884,2986131.25,0,0
2020-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",289511,2820509.71,0,0
2020-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",344490,3932538.77,0,0
2020-10-01,Y62,"NORTH WEST COMMISSIONING REGION",407556,3812570.95,0,0
2020-10-01,Y60,"MIDLANDS COMMISSIONING REGION",487635,5164359.34,0,0
2020-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",492083,4248676.37,0,0
2020-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",239248,2570625.75,0,0
2020-11-01,Y56,"LONDON COMMISSIONING REGION",265158,2863462,0,0
2020-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",280572,2719005.77,0,0
2020-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",332130,3793058.43,0,0
2020-11-01,Y62,"NORTH WEST COMMISSIONING REGION",387195,3633603.48,0,0
2020-11-01,Y60,"MIDLANDS COMMISSIONING REGION",467720,4959996.49,0,0
2020-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",473461,4127957.52,0,0
2020-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",256891,2720668.38,0,0
2020-12-01,Y56,"LONDON COMMISSIONING REGION",283640,3098710.81,0,0
2020-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",300676,2947658.07,0,0
2020-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",359529,4117592.15,0,0
2020-12-01,Y62,"NORTH WEST COMMISSIONING REGION",425791,3982246.52,0,0
2020-12-01,Y60,"MIDLANDS COMMISSIONING REGION",508494,5412343.04,0,0
2020-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",512370,4479048.62,0,0
2021-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",239590,2689338.57,0,0
2021-01-01,Y56,"LONDON COMMISSIONING REGION",269203,3025198.55,0,0
2021-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",283481,2928123.55,0,0
2021-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",333986,3982822.06,0,0
2021-01-01,Y62,"NORTH WEST COMMISSIONING REGION",389722,3850798.74,0,0
2021-01-01,Y60,"MIDLANDS COMMISSIONING REGION",471612,5242717.79,0,0
2021-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",473328,4383749.47,0,0
2021-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",225562,2462185.79,0,0
2021-02-01,Y56,"LONDON COMMISSIONING REGION",253123,2824531.89,0,0
2021-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",265548,2646480.89,0,0
